Position Title,Category,Duration,Key Programming & Technical Skills,Position ID,Deadline,City,Country
Summer 2026 Co-op: Cloud Security Specialist (4 Months) - Billingual,Leadership and Management Roles,4 Months,Cloud Computing ; Cloud Native Development ; Security,J0126-0796,May 2026,Mississauga,Canada
Summer 2026 Co-op: WiSE Full Stack Software Developer (4 months),Software Development / Engineering,4 months,.NET ; CSS ; HTML ; Java ; JavaScript ; PHP ; Python ; SQL Server,J0126-0658,,Montréal,Canada
Summer 2026 Co-op: WiSE Desktop Support Technician (8 months),Service Desk / End User Services,8 months,Customer Service & Support ; Team Player ; Windows 10,J0126-0313,,Montréal,Canada
Summer 2026 Co-op: Developer (4 months),Software Development / Engineering,4 months,Angular ; Java ; JavaScript ; SQL,J0126-0315,,Montréal,Canada
Summer 2026 Co-op: .NET Developer (3 months),Software Development / Engineering,3 months,.NET ; ASP.NET ; C# ; CSS ; HTML ; JavaScript ; MVC ; XML,J0126-0324,,Saguenay,Canada
Summer 2026 Co-op: SAP ABAP Developer (4 months),Software Development / Engineering,4 months,Analytical Thinking ; Problem Solving/DecisionMaking ; Team Player,J0126-0401,,Saguenay,Canada
Summer 2026 Co-op: Programmer (4 months),Software Development / Engineering,4 months,Back End Development ; Python ; SQL,J0126-0402,,Shawinigan,Canada
Summer 2026 Co-op: WiSE Desktop Technician (4 months),Service Desk / End User Services,4 months,Microsoft Office365 ; Network ; Windows 10,J1225-1043,,Mississauga,Canada
Summer 2026 Co-op: Developer (4 months),Software Development / Engineering,4 months,.NET ; Angular ; DevOps ; Java ; JavaScript ; Kotlin ; Python ; SQL,J0126-0475,,Saguenay,Canada
Summer 2026 Co-op: Sales Operations Coordinator (8 months),Marketing,8 months,Communication (Oral/Written) ; Digital Marketing ; Microsoft Office ; Microsoft PowerPoint,J0126-0509,,Toronto,Canada
Summer 2026 Co-op: Junior AI Developer (4 months),Software Development / Engineering,4 months,Python ; Scikit-Learn ; SQL ; TensorFlow Framework,J0126-0514,,Montréal,Canada
WiSE Summer 2026 Co-op: AI Automation Analyst/Developer (8 Months),Software Development / Engineering,8 Months,Artificial Intelligence ; Artificial Neural Networks ; Java ; Python,J0126-0227,May 2026,Toronto,Canada
Summer 2026 Co-op: Project Control Officer (12 months),Project Management,12 months,Project Governance ; Project Management ; Project Management (T1),J0126-0290,May 2026,Toronto,Canada
Summer 2026 Co-op: Delivery Analytics (4 Months),Project Management,4 Months,Analytical Thinking ; Analyzing Data with Power BI ; Delivery Management ; Design (Infrastructure),J0126-0228,May 2026,Toronto,Canada
Summer 2026 Co-Op: WiSE AI Software Developer ( 4 Months),Software Development / Engineering,4 months,Articulate ; Artifactory ; Artificial Intelligence,J1225-0825,,Toronto,Canada
WiSE Summer 2026 Co-Op: WiSE Quality Assurance & Automation (4 Months),Testing/Quality Assurance,4 Months,Quality Assurance/QA Strategy ; QuickTest Pro ; Test Analysis,J1225-0826,,Toronto,Canada
Summer 2026 Co-op: AI Software Developer (4 Months),Software Development / Engineering,4 Months,Artificial Intelligence ; Artificial Neural Networks,J0126-0218,May 2026,Markham,Canada
WiSE Summer 2026 Co-op: DevSecOps - AI Developer - Data Scientist (4 Months),Software Development / Engineering,4 Months,Artificial Intelligence ; DevOps,J0126-0296,May 2026,Toronto,Canada
Summer 2026 Co-op: Operations Analyst (8 Months),Administration,8 Months,Administrative Support ; Operations Management,J0126-0298,May 2026,Toronto,Canada
Summer 2026 Co-op: Financial Analyst (8 Months),Administration,8 Months,Financial Accounting ; Financial Analysis ; Financial Management,J0126-0299,May 2026,Toronto,Canada
Summer 2026 Co-op: AI Software Developer (4 Months),Software Development / Engineering,4 Months,Artificial Intelligence ; Software Design Patterns ; Software Development,J0126-0300,May 2026,Toronto,Canada
Summer 2026 Co-op: Software Engineering Co-op (AI & Full Stack) (4 Months),Software Development / Engineering,4 Months,Java ; Programmatic Marketing ; Python,J0126-0387,May 2026,Toronto,Canada
